owner,balance
A6KV7svZiqb4pNmygbbdyzGC5vC5H3Y2uAvH7DNFxSL3,2
CgbkiF6MRgdSoBVvfD78snEeZBhEJZ3zT3xqCGjgEoFn,2
3vsmfRB5DGsUk9Yof6kKbqUN2o7PnccqPdcd7BFyEyWa,2
BB4S5NwfatDdUMD9TAf4x3XpRZTvdaBxFZp5gM6yHw8b,2
25hNBcpYF2tADaoZ7thLR8SXM8cW2W6DXBi8HELQcxSY,2
CV96Kjck38g8vB4pjNC6C2S3XNNUSj9CDRrpSDygAyra,2
FzctqgmqJ7SPwxFWnWEmTiqmvvkcSNWWy6Fi4nZEVY52,2
3HVBEenbQcoH6671x4RkVGkB1m8X1ZLmLiBxfHYmVooS,2
GZqsnHw8WVfJEtfzmE1RwJ8kWcXL2wVyoZpE5FQiVu6b,2
rVXv6rg8wHnoEtr5eqRV6m5D91VN31C5gpRgoS9bf12,2
HzZKZ9Rwvb86uNHyFQLBZmqU7DQ3oayFwgyP17hsFEHJ,2
AKr1yFSrc84MtooBP852HoYTCXhMBUnKwdC9ETzaoGsN,2
EyL15kqDNpWEdQqpYDuoqKxnPGLVZiTMQrfJb9Utk3oV,2
EVXcD7TSWRW9s5pJyKe8rtsRwcEWjF7qtNhjcUVB2hGu,2
8JmGaWr4zcyzSiJHaSWDRds96Ld2idufWUAsNsHs1MCq,2
GsDFA62WBmS3kz6To23VaBgurn2EfVvmVQoMyupETaSH,2
FZGguU93nLjFnKKoiS8bB6bgVrvEQi5MP7HoqBpTsDXJ,2
AYQxH5Hzsz9X4GfvGQFgWYiJDsy2dGSsAJJkRNp3dvNn,2
6Ma3c9PVvpD7haUZLVmWc4aWiFYn5co2DJsESbaErSCa,2
4kmQYfsCgADU8GSXQP8SWQ4PTMMrzvteHR3n7uHax4HE,2
cstotaPNoTVnHn4gii71SNceop5JVjABMojtgJr3VBn,2
W34kxhVhkY85rYBKGssyRCBfBJnPjGncBmYWLoiD3BS,2
BgjTj8K51uCvs3wHSQJkJ2wy4yDfCZETUwjXwpg2gE3F,2
46HL9kNBeRPNAki5zndEJjw3G9sgwM3wvDzxquUjMmjX,2
2sLyV9DQtshXXu84smSefxA3MMheJKWeD3tG3q1vmkbG,2
HEiGArYDo1UC8fTp1MvqvqVReJKV7VHLgk33uk2mPbrD,2
3hXzND59m8NLy8DPcG6W61xWSCgTRQ8c5zLKcKSvEsiA,2
HQ3GFPxUHfBiA5sDpeBX5cDDTZVKrmXNCxxUpZPepWa,2
7VTDcapthbd4cf2myUmqsm7zwdqGhnfsAmvJAJjjvdHK,2
FQ1pTSNAtrx77DAKtwoEqoR2b2ur7qhpprurJS7m2j17,2
3rjonh1HP9fDPshdfokYxJHriLN9dwtRTZVqkNaq2LVf,2
8tcby4WYCRR3ZS5fnFzgJNKmVaxuMkR7VKWmtyhNApGH,2
6dryr8xAvjfAD1NE1HMKsB52w7x3tW5gsH8hUvGG3W8m,2
7UdtDEv6pUDYqUayheeEL8zYqjZHjKa1Gc3r4iRZ7DBN,2
AppNqkpKXeGb9Ni9sWhjwuAyyw2j9StSfArvzYFBwWXV,2
ArccRyq4Bsz3t9bXz9mQ2h7segyqguryKVw64675zr7b,2
4pmHAVa5g4a33gwdWXpTErpzwcbm9LbL1Q4zPi5KzFwU,2
97eU9n9WYtRzfH9qkjMcBdUZJRnsCTNBXyfFKtCdKhbR,2
AAEiDRykCX8AA36u39jGYezbBUkD34pXeZS6hWa5tso1,2
J6565KgvJv1LY3UJDwCEx3nwbettHCwuskwZkkFSybhZ,2
BP2VAsLcq3sirwAoAJbMxhSJ592mbRdULygxXQL45KKU,2
DBLCgWBdrAJbrbHkta19yCDqzraQkrkjdaynKkBPPS3S,2
2ECYwAhoTGbDTgxvqpUyPJX6VAT191fcavJcyJ7WWud3,2
GwZLDJ8FcRDLdnuvpQggFM6d7SfesTQMJAkD2DRFb7Zp,2
8FbFW8ii4sWEDVoNdktqbhTxVTUvCZBkGKhdndGG9ZQX,2
6js31wRYEzoVqV54ztNbxFp65AVK8gyfiZnxxCg7r3WA,2
CdkwKDmg3bhocNiMRvzGWn6TcXd3iDVFPu4GnVE7uG68,2
BTsJNw6Lq1sydLmPvw6rvyb4EcyUu5roEB324Ude159c,2
AsfE8PbBc2eEKFqvWiouLXXcz9djj9aQw12Y6cZWz7Uz,2
8aZ8QvgZyxjEL9ufJy1C1TYfcq1eZu25MFzacGv9yGhU,2
6zoWzdWH8UfGEBqdT3s9z3CmTHME62UrGpaG94QsLcKT,2
EpCXGtmWh9cJf9YBT73cUkCegwFGmdyVKKgiWEr99xnw,2
Baa4FKeupJYgCDd2owCo6NUovCoFwE115dssv1MFyPei,2
5w4ShVajkTxagPGT2p6P4zFYJD3Tg6PSLQsnJsrWGu51,2
J4vzewrHkrwo2uLSrtnaNDDPUe9DiYqJrabYZNuo1ufD,2
